Date,Underlying1,Underlying2,Underlying3,Underlying4,Underlying5,Underlying6
01-May-20,189.5314447,266.3745966,775.3911067,68.24629855,18947.87697,1331.515888
04-May-20,189.4544162,264.9205289,780.4962095,6.060897149,18945.32405,1324.607999
05-May-20,188.494502,262.0379133,764.8537575,57.19805089,18844.26081,1309.746489
06-May-20,189.5479693,263.4284615,774.2344888,64.03083608,18948.25579,1317.017503
07-May-20,190.6522229,263.8183922,767.2231497,44.64963714,19061.87676,1318.758407
08-May-20,189.6275075,264.1901146,760.9090728,4.605757845,18962.66112,1321.005946
11-May-20,190.3782727,264.2381779,762.4979802,8.869241209,19030.17425,1320.793306
12-May-20,190.8430227,264.3585001,763.9714412,51.18115893,19081.79036,1321.808575
13-May-20,191.4877661,265.6466631,771.4173811,30.08701809,19141.8893,1327.91042
14-May-20,191.1192791,265.1970228,767.0002565,0.584085998,19110.47807,1325.688439
15-May-20,191.2370657,265.0893325,764.5157935,73.61263918,19120.97545,1325.251391
18-May-20,189.8827324,264.2894715,750.7192071,39.03203365,18987.69183,1321.128722
19-May-20,190.6722315,264.145158,752.7578808,15.32588619,19058.34609,1320.744592
20-May-20,190.851089,264.3249843,747.4508973,69.97999812,19083.36564,1321.277008
21-May-20,189.8237067,264.8533242,748.0015399,16.97785916,18977.31141,1324.030427
22-May-20,190.2009468,265.0665912,749.9371135,50.2988421,19017.31838,1325.052996
26-May-20,188.976533,264.5345635,747.0102372,52.70471857,18892.37088,1322.32426
27-May-20,189.359548,264.9209513,747.8662673,66.50260721,18926.57648,1324.331492
28-May-20,189.5723531,265.2631628,747.6654339,34.03008762,18951.31453,1325.942004
29-May-20,189.9601318,264.958903,748.2182116,0.80684241,18993.26426,1324.606356
01-Jun-20,190.5923974,265.3026024,749.5266428,45.13534546,19053.0393,1326.255639
02-Jun-20,189.4463852,265.3265114,748.8235443,65.97631884,18941.25211,1326.600755
03-Jun-20,188.2636055,265.3620322,746.6203843,37.1936545,18824.57606,1326.803344
04-Jun-20,188.685921,265.5519572,747.432189,24.29296657,18864.64298,1327.408203
05-Jun-20,187.2450543,265.5804295,746.23868,51.331933,18719.64929,1327.841173
08-Jun-20,188.2333577,265.7498426,746.9428569,69.10509007,18821.43999,1328.615581
09-Jun-20,188.3355517,265.9532289,747.9790603,1.930214828,18824.05259,1329.461827
10-Jun-20,188.1796381,265.7920167,747.7444497,33.57653905,18814.22205,1328.563536
11-Jun-20,189.457911,265.9391704,746.7830197,71.19161519,18942.11552,1329.313342
12-Jun-20,189.7716425,266.2377638,748.4954089,62.31897739,18970.60301,1330.865433
15-Jun-20,189.1261046,266.2677789,749.2681338,7.304808094,18911.27205,1331.15613
16-Jun-20,188.8061178,266.393825,749.9775263,58.85300908,18874.85234,1331.892369
17-Jun-20,189.0133678,266.2012992,749.6528454,28.32722136,18893.84162,1330.641088
18-Jun-20,188.7812119,266.0683019,749.361678,69.45560072,18877.36616,1330.050171
19-Jun-20,189.0787875,266.0442967,749.4411477,48.58217558,18903.46336,1330.006543
22-Jun-20,189.0248266,266.1001328,750.5315494,69.43116405,18902.19848,1330.111001
23-Jun-20,189.9154558,266.1069373,750.4773667,55.18744501,18984.34449,1330.389292
24-Jun-20,190.9237502,266.1552779,751.3968354,7.449535733,19082.57926,1330.780037
25-Jun-20,191.2361208,266.5210296,754.2121535,30.07768633,19118.82115,1332.321115
26-Jun-20,191.5399408,266.5481346,756.2966858,21.89239664,19152.07538,1332.564218
29-Jun-20,190.3904986,265.726793,750.4951856,71.92205746,19029.16996,1328.453777
30-Jun-20,190.8108419,265.7537321,749.5398197,36.366163,19072.50181,1328.613133
01-Jul-20,189.4677914,266.219291,748.3994547,52.73215484,18938.90038,1330.850688
02-Jul-20,189.5786836,265.8235644,747.9016312,9.002960632,18956.71359,1328.791012
06-Jul-20,190.0665357,264.9105924,748.9383452,48.74238214,19001.81521,1324.437843
07-Jul-20,190.4108176,264.6839265,748.1999453,9.68975846,19036.25527,1323.195277
08-Jul-20,190.7562303,264.8282576,750.9700689,26.65371491,19070.83993,1323.790084
09-Jul-20,190.5038647,264.7184015,749.7038623,57.48617297,19043.85866,1323.285933
10-Jul-20,191.0419435,264.5658906,749.4433741,54.50112152,19095.11703,1322.651673
13-Jul-20,192.3897081,264.9492426,750.4579655,5.272292748,19234.01468,1324.494103
