,Date,index_value
0,2020-02-13,1.0850470678835282
1,2020-02-14,1.0840263043841998
2,2020-02-18,1.0995669319901706
3,2020-02-19,1.0090362657360958
4,2020-02-20,1.0131203396651751
5,2020-02-21,1.055710345414843
6,2020-02-24,1.0816608921516886
7,2020-02-25,1.1187412918528805
8,2020-02-26,1.1075550400086205
9,2020-02-27,1.0845810734318364
10,2020-02-28,1.0990010875271028
11,2020-03-02,0.9551123533046468
12,2020-03-03,1.0872339039931236
13,2020-03-04,1.0318217357520196
14,2020-03-05,1.0624595871732065
15,2020-03-06,0.9758412974291515
16,2020-03-09,1.011547442115864
17,2020-03-10,1.0127093692802163
18,2020-03-11,1.1078716647644908
19,2020-03-12,1.0015331734374422
20,2020-03-13,0.9992906921999913
21,2020-03-16,0.9950637047670066
22,2020-03-17,0.9979484580889657
23,2020-03-18,1.0035732997170936
24,2020-03-19,0.9688956571955579
25,2020-03-20,1.0009851663742462
26,2020-03-23,1.0176975086741253
27,2020-03-24,0.9859840806731552
28,2020-03-25,0.9753436348796584
29,2020-03-26,0.9753177460831448
30,2020-03-27,1.0018094902755592
31,2020-03-30,0.9622616864995789
32,2020-03-31,0.9891129218080493
33,2020-04-01,1.0147817792808642
34,2020-04-02,1.0275674953133802
35,2020-04-03,1.0172279253936138
36,2020-04-06,1.0024298225069481
37,2020-04-07,0.9920635201697254
38,2020-04-08,1.0274941519143699
39,2020-04-09,1.0051596634665934
40,2020-04-13,0.9766910863276558
41,2020-04-14,1.0385914887091465
42,2020-04-15,0.9653532479997701
43,2020-04-16,0.9645952615957124
44,2020-04-17,1.0017961281140977
45,2020-04-20,0.9555269341881939
46,2020-04-21,0.9764638101320019
47,2020-04-22,1.0128742274789366
48,2020-04-23,0.9870426392217526
49,2020-04-24,1.0089245967787177
50,2020-04-27,0.9973505055361008
51,2020-04-28,0.969274210270539
52,2020-04-29,0.9789355071072245
53,2020-04-30,0.9668982167902833
54,2020-05-01,0.9979536728211383
55,2020-05-04,0.9536519609904903
56,2020-05-05,0.9795454567379369
57,2020-05-06,0.9904335034727609
58,2020-05-07,0.9785954942326818
59,2020-05-08,0.9481392088808942
60,2020-05-11,0.9528714748933255
61,2020-05-12,0.983772954580919
62,2020-05-13,0.9737773917116876
63,2020-05-14,0.9483786668447828
64,2020-05-15,1.0692890959831565
65,2020-05-18,1.005144839416376
66,2020-05-19,0.9675132838387719
67,2020-05-20,1.0579734001629066
68,2020-05-21,0.9686482217235605
69,2020-05-22,1.0255150316988617
70,2020-05-26,1.0255349099504738
71,2020-05-27,1.049950997269642
72,2020-05-28,0.9969676151123485
73,2020-05-29,0.9423145214185857
74,2020-06-01,1.0179803406453096
75,2020-06-02,1.050184903308655
76,2020-06-03,0.9995551486645771
77,2020-06-04,0.9793646094331642
78,2020-06-05,1.0211124095798974
79,2020-06-08,1.0531285340388585
80,2020-06-09,0.9421145156979842
81,2020-06-10,0.994147480601222
82,2020-06-11,1.058344565219581
83,2020-06-12,1.0465594774330478
84,2020-06-15,0.963601030126957
85,2020-06-16,1.0399302794495495
86,2020-06-17,0.994505788427273
87,2020-06-18,1.0550940109244777
88,2020-06-19,1.0245883057644738
89,2020-06-22,1.0558505306577988
90,2020-06-23,1.0364666592095002
91,2020-06-24,0.9677874885362996
92,2020-06-25,1.003285673447106
93,2020-06-26,0.992267890361926
94,2020-06-29,1.0617701052400346
95,2020-06-30,1.0096101397514732
96,2020-07-01,1.0315869797038575
97,2020-07-02,0.9661294712492743
98,2020-07-06,1.0251275720874833
99,2020-07-07,0.9672222261950533
100,2020-07-08,0.993962131440216
101,2020-07-09,1.0388811557273898
102,2020-07-10,1.035278214828107
103,2020-07-13,0.9581169644362927
104,2020-07-14,0.9943484383895691
105,2020-07-15,0.95417008518038
106,2020-07-16,0.9863333439305906
107,2020-07-17,1.0123195722565155
108,2020-07-20,0.996411809252921
109,2020-07-21,0.9927114956044784
110,2020-07-22,0.9569360333998176
111,2020-07-23,1.0002478721648833
112,2020-07-24,0.9993368883742775
113,2020-07-27,0.9877123077616036
114,2020-07-28,1.0242840886131062
115,2020-07-29,1.0155897034806372
116,2020-07-30,0.9671944647335581
117,2020-07-31,0.9813448610884081
118,2020-08-03,1.0160903762594342
119,2020-08-04,0.9724549314267945
120,2020-08-05,0.9781854715900132
121,2020-08-06,0.9894494797890017
122,2020-08-07,0.9811402373296562
123,2020-08-10,0.9653701605652256
124,2020-08-11,0.9745292193809963
125,2020-08-12,0.9964630152143177
126,2020-08-13,0.9777166379279794
127,2020-08-14,0.9702222251788661
128,2020-08-17,1.0258433293040967
129,2020-08-18,0.9834203990490581
130,2020-08-19,1.0253764969801384
131,2020-08-20,1.0124787079896276
132,2020-08-21,1.0123771939699784
133,2020-08-24,1.0116055398617902
134,2020-08-25,0.9844389135332321
135,2020-08-26,0.9911475101659025
136,2020-08-27,0.9930610089061542
137,2020-08-28,1.0206006058768977
138,2020-08-31,0.9676804705390185
139,2020-09-01,1.0224774050539929
140,2020-09-02,1.023780200079328
141,2020-09-03,0.9514181137077088
142,2020-09-04,0.9817885642664018
143,2020-09-08,1.0224136342292178
144,2020-09-09,1.02490270182736
145,2020-09-10,0.975387990090454
146,2020-09-11,1.1068353945124396
147,2020-09-14,0.9666396467689722
148,2020-09-15,1.1026593660931965
149,2020-09-16,1.1015472011910339
150,2020-09-17,0.9667558426451642
151,2020-09-18,0.9519591190289178
152,2020-09-21,1.0600076505964202
153,2020-09-22,0.989734099231164
154,2020-09-23,0.9851103095233639
155,2020-09-24,0.9382486219411883
