,Period,Annualized Return,Annualized Risk
0,1 Year,0.009533372230954296,1.9712331671778227
1,2 Years,0.027314304133667644,1.5953437595749005
2,5 Years,-0.03534362426111015,1.5828117286743775
3,All years,-0.03534362426111015,1.5828117286743775
